file,zh,old_en
"index.html","清潔袋 · 拉繩袋 · 蔬果袋...","Can Liners, Drawtape..."
"index.html","綠色標章認證","Green Mark Certification"
"index.html","50% 再生塑膠 · 避用重金屬","50% Recycled Plastic"
"index.html","聯繫專人窗口","Contact Us Desk"
"index.html","留下資料 · 由專人與您對接","Leave Info & We Contact"
"index.html","快速篩選：","Quick Tags:"
"index.html","' + esc(s) + '","' + esc(e) + '"
"index.html","' + esc(tw.main) + '","' + esc(en.main) + '"
"index.html","又稱 ' + esc(tw.alias) + '","Also known as ' + esc(en.alias || tw.alias) + '"
"index.html","' + esc(row.highlight) + '","' + esc(row.highlight_en || row.highlight) + '"
"index.html","前往產品中心查看","View in Product Center"
"about.html","關於臺灣營德｜從新港出發的全球製造實力","About INTEPLAST TAIWAN | Global Manufacturing from Xingang, Chiayi"
"about.html","從台灣出發，為世界製造","Made in Taiwan. Built for the world."
"about.html","在新港，我們把穩定品質、精密製程與環境思維，做成全球市場可以信賴的日常。臺灣營德持續用更好的製造，回應每一個正在前進的需求。","In Xingang, we turn reliable quality, precise processes, and environmental thinking into work global markets can count on—responding to every need that keeps moving forward."
"about.html","整合全球技術與在地根基，讓製造更有韌性","A manufacturing network built for more"
"about.html","臺灣營德站在新港，串連 INTEPLAST GROUP 的全球加工經驗與台塑公司的原料、廠區資源；把三方力量，轉化為客戶可依賴的製造能力。","From Xingang, INTEPLAST TAIWAN connects INTEPLAST GROUP's global processing expertise with Formosa Plastics' materials and industrial resources—turning shared strength into dependable manufacturing."
"about.html","全球塑膠加工技術、製造管理與跨市場服務網絡。","Global plastics processing, manufacturing management and market reach."
"about.html","美國總部｜北美、亞洲、歐洲製造版圖","U.S. headquarters | Manufacturing across North America, Asia and Europe"
"about.html","前往 INTEPLAST GROUP 官網","Visit INTEPLAST GROUP"
"about.html","臺灣營德","INTEPLAST TAIWAN"
"about.html","在嘉義新港，把原料、技術與製程整合為穩定可靠的薄膜與軟包裝解決方案。","In Xingang, we integrate materials, technology and processes into reliable film and flexible packaging solutions."
"about.html","共同投資夥伴：INTEPLAST GROUP、台灣塑膠公司、長庚生物科技","Jointly invested by INTEPLAST GROUP, Formosa Plastics and Chang Gung Biotechnology"
"about.html","與臺灣營德聯繫","Contact INTEPLAST TAIWAN"
"about.html","台灣塑膠公司","Formosa Plastics Corporation"
"about.html","穩定的原料資源與台塑企業新港廠區產業基礎，支撐高效率且穩定的生產配置。","Reliable material resources and the industrial foundation of the Xingang complex support efficient, stable production."
"about.html","台灣塑膠公司｜台塑企業成員","Formosa Plastics Corporation | Formosa Plastics Group member"
"about.html","前往台灣塑膠公司官網","Visit Formosa Plastics"
"about.html","三方共同投資，讓臺灣營德兼具國際製造視野、在地供應韌性與長期經營基礎。","Joint investment gives INTEPLAST TAIWAN global manufacturing perspective, local supply resilience, and a foundation for long-term growth."
"about.html","從台塑到營德，厚植製造實力","From Formosa Plastics to INTEPLAST TAIWAN—strengthening manufacturing expertise"
"about.html","臺灣營德的製造故事，源自台塑塑膠加工組。1983 年，加工組於高雄前鎮廠起步，開始生產購物袋；1984 年，市場袋、清潔袋正式加入產品線，逐步累積袋品製造的基礎與經驗。","INTEPLAST TAIWAN's manufacturing story traces back to Formosa Plastics' processing group. In 1983, the group began at the Kaohsiung Qianzhen plant with shopping bag production; produce bags and can liners followed in 1984, building the foundation for decades of bag manufacturing expertise."
"about.html","1989 年，新港廠整地擴建；1991 年正式投產，並啟用全自動拌料輸送系統。隨著市場需求與設備能力提升，產品線也持續延伸。","Xingang expanded in 1989 and began production in 1991 with an automated mixing and conveying system. As market demand and capability grew, the product portfolio continued to expand."
"about.html","2004 年，前鎮廠遷廠合併，新港成為主要生產基地；2008 年，全球產品配置重整，讓製造資源更聚焦於具技術與品質優勢的產品。","In 2004, the Qianzhen operation was consolidated and Xingang became the primary production base. A 2008 global product realignment sharpened the focus on products with technical and quality advantages."
"about.html","2014 年，台塑塑膠加工組改組，成立「臺灣營德股份有限公司」。臺灣營德延續既有的製造經驗，結合 INTEPLAST GROUP 的全球技術與營運管理，並持續作為台塑相關企業的一員，開啟新的篇章。","In 2014, the Formosa Plastics processing group was reorganized as INTEPLAST TAIWAN CORPORATION. Building on its manufacturing experience and INTEPLAST GROUP's global technology and operations, INTEPLAST TAIWAN continues as part of the Formosa Plastics affiliated enterprise network."
"about.html","2015 年，越南營德公司成立，進一步拓展海外製造布局。透過臺灣與越南生產基地的相互支援，結合 INTEPLAST GROUP 的全球資源與技術經驗，逐步強化產能配置與國際市場供應能力。","In 2015, INTEPLAST VIETNAM was established, extending the manufacturing footprint overseas. With the Taiwan and Vietnam plants supporting each other and drawing on INTEPLAST GROUP's global resources and technical experience, capacity planning and international supply capability continued to strengthen."
"about.html","從前鎮的第一只購物袋，到新港的持續精進；我們把累積多年的製造經驗，轉化為面向未來的可靠承諾。","From the first shopping bag in Qianzhen to continuous progress in Xingang, we turn years of manufacturing experience into a dependable promise for the future."
"about.html","臺灣營德的製造歷程","A manufacturing history in Taiwan"
"about.html","故事始於高雄前鎮廠，從袋品生產出發，逐步發展為今日的製造基地。","The story began at the Kaohsiung Qianzhen plant, growing from bag production into today's manufacturing base."
"about.html","集團肯定，來自實際的生產表現","Recognised for what the lines actually deliver"
"about.html","臺灣營德連續五年獲頒 INTEPLAST GROUP Excellence Award 卓越獎。","INTEPLAST TAIWAN has received the INTEPLAST GROUP Excellence Award for five consecutive years."
"about.html","INTEPLAST GROUP 卓越獎與年度最大進步營運單位獎座","INTEPLAST GROUP Excellence Awards and The Most Improved Operation trophy"
"about.html","抽取式設計，取得美國專利","A pop-up design, patented in the United States"
"about.html","Scale Sheet 的單張抽取結構已取得美國專利。取用一張就是一張，不必翻找、不會沾黏，讓秤重與分裝的每一次動作都省下時間。","The single-sheet pop-up structure behind Scale Sheet is protected by a United States patent. One pull, one sheet — no fumbling, no sticking, and time saved on every weigh and repack."
"about.html","不只是製造，更是對品質與未來的承諾","More than manufacturing—a promise of quality and progress"
"about.html","從自動化生產、跨市場產品開發到循環再利用，我們把三十餘年的現場經驗轉化為客戶可以信賴的製造能力。","We turn more than three decades of experience into dependable manufacturing through automation, market-driven development, and circular practices."
"about.html","讓穩定品質，成為製程的日常","Quality built into every run"
"about.html","從全自動拌料與原料空輸，到 PLC 吹膜控制與精密點斷熱封，每一道製程都為穩定品質與良率而設計。","From automated material handling to PLC extrusion and precision sealing, every stage is designed for reliable quality and yield."
"about.html","製程 × 品質管理","PROCESS × QUALITY"
"about.html","以多元產品，回應全球市場","Product breadth for global markets"
"about.html","從捲膜、清潔袋、拉繩袋到醫療包裝與冷凍密實袋，臺灣營德服務台灣、日本、美洲與東南亞等市場。","From films and refuse bags to medical overwraps and freezer bags, we serve Taiwan, Japan, the Americas, and Southeast Asia."
"about.html","產品 × 市場連結","PRODUCT × MARKET"
"about.html","把永續，落實在每個細節","Sustainability, put into practice"
"about.html","採用環保水性墨、建構廢膜回收再生系統，並推出取得國家環保標章認證的綠色產品。","Water-based inks, in-process film recycling, and Green Mark certified products put sustainability into practice."
"about.html","材料 × 循環思維","MATERIAL × CIRCULARITY"
"about.html","把現場經驗，轉化成每一批產品的可靠度","Turning shop-floor expertise into dependable output"
"about.html","新港基地將原料輸送、吹膜、印刷、製袋與品質控管串聯為完整流程，讓品質不是最後一道檢查，而是每一道製程的共同標準。","At Xingang, material handling, extrusion, printing, converting and quality control form one connected process—making quality a standard at every stage."
"about.html","全自動拌料與原料空輸","Automated mixing and conveying"
"about.html","PLC 自動化吹膜控制","PLC extrusion controls"
"about.html","精密點斷、熱封與品質追蹤","Precision perforation, sealing and quality tracking"
"about.html","下一段製造故事，與您一起開始","Let the next manufacturing story begin with you"
"about.html","需要穩定可靠的塑膠薄膜、袋品或軟包裝製造夥伴？讓臺灣營德的技術與全球網絡，回應您的產品需求。","Looking for a dependable partner in plastic films, bags or flexible packaging? Let our expertise and global network support your next product."
"about.html","聯繫與詢價","Contact & RFQ"
"about.html","瀏覽產品中心","Explore Products"
"contact.html","聯繫我們 | 臺灣營德股份有限公司 INTEPLAST TAIWAN CORPORATION","Contact Us | INTEPLAST TAIWAN CORPORATION"
"contact.html","聯繫臺灣營德","Contact INTEPLAST TAIWAN"
"contact.html","留下聯絡資料由我們主動與您聯繫，或直接聯絡營德專人窗口。","Leave your details and we will reach out, or contact our team directly."
"contact.html","直接聯繫營德窗口","Contact Us Directly"
"contact.html","留下資料 · 由我們聯繫您","Leave Info & We Contact You"
"contact.html","聯絡我們","Contact Us"
"contact.html","公司地址","Address"
"contact.html","臺北市松山區敦化北路205號6樓609室","6F., No. 205, Dunhua N. Rd., Songshan Dist., Taipei City, Taiwan"
"contact.html","連絡電話","Telephone"
"contact.html","服務時間：週一至週五 08:30–17:30（國定假日休息）","Office hours: Mon–Fri 08:30–17:30 (GMT+8), closed on national holidays"
"contact.html","電子郵件","Email"
"contact.html","撥打電話","Call Us"
"contact.html","寄送 Email 諮詢","Send Email Inquiry"
"contact.html","留下您的聯絡資料","Leave Your Contact Details"
"contact.html","公司名稱","Company Name"
"contact.html","商務信箱（必填）","Business Email (Required)"
"contact.html","聯絡電話（選填）","Phone Number (Optional)"
"contact.html","詢問產品類別","Product Interest"
"contact.html","01 清潔袋 (連捲 / 單張抽取 / 環保)","01 Can Liners (Coreless Roll / Interleaved / Eco)"
"contact.html","02 拉繩袋 (清潔袋 / 醫療袋)","02 Draw-Tape Bags (Can Liner / Medical)"
"contact.html","03 蔬果袋 (平裝 / 捲裝)","03 Produce Bags (Flat Pack / Roll)"
"contact.html","04 夾鏈袋 (密實袋 / 立體密實袋 / 冷凍袋 / 夾鏈袋)","04 Zipper Bags (Seal / Stand-Up / Freezer / Zipper)"
"contact.html","05 其他類 (手套 / 台塑遮蔽防塵膠帶)","05 Others (Gloves / Masking Film)"
"contact.html","06 Scale Sheet / Tare Sheet","06 Scale Sheet / Tare Sheet"
"contact.html","需求內容與訊息","Inquiry Message"
"contact.html","確認送出，我們會儘速聯繫您","Submit & We Will Contact You"
"sustainability.html","環保標章產品｜臺灣營德股份有限公司","Green Mark Certified Products | INTEPLAST TAIWAN CORPORATION"
"sustainability.html","綠色標章產品","GREEN LABEL PRODUCTS"
"sustainability.html","讓每一次選擇，<br>更靠近綠色生活。","Making Every Choice<br>Closer to Green Living."
"sustainability.html","臺灣營德以通過環保標章的產品，回應日常生活對環境友善選擇的需求。從產品設計到使用，我們以可被辨識的綠色承諾，陪伴每一個乾淨安心的日常。","INTEPLAST TAIWAN responds to everyday eco-friendly needs with Green Mark certified products. From design to use, our recognizable green commitment accompanies clean, peaceful daily living."
"sustainability.html","認識環保標章產品","Explore Green Mark Products"
"sustainability.html","環保標章介紹","About Green Mark"
"sustainability.html","環保標章是什麼","WHAT IS THE GREEN MARK"
"sustainability.html","以綠葉環抱地球，<br>辨識更友善的選擇。","Embracing Earth with Green Leaves,<br>Identifying Eco-Friendly Choices."
"sustainability.html","環保標章以綠色葉片環繞地球的意象，傳遞守護環境、珍惜資源的理念。取得標章的產品，須符合環境部公告的規格標準並獲得使用證書，讓消費者採購時有清楚的辨識依據。","The Green Mark uses green leaves surrounding the Earth to convey environmental protection and resource conservation. Certified products meet official standards from the Ministry of Environment, providing clear purchasing guidance."
"sustainability.html","綠色消費的觀念在歐美環保運動中逐漸發展，德國、加拿大、日本與北歐等地也陸續建立環保標章制度。台灣於民國81年推動環保標章，鼓勵製造端減少污染與資源消耗，也讓使用者能支持可回收、低污染與省資源的產品。","Green consumerism evolved from global environmental movements. Taiwan introduced its Green Mark system in 1992, encouraging manufacturers to reduce pollution and resource consumption."
"sustainability.html","環保標章規格標準","Green Mark Standards"
"sustainability.html","環保標章產品查詢","Search Certified Products"
"sustainability.html","依 ISO 14024 原則建立","Built on ISO 14024 Principles"
"sustainability.html","環保標章採用國際第一類環境標誌的原則與程序，以市場機制鼓勵環境衝擊較低的產品與服務。","Adheres to Type I environmental labeling principles under ISO 14024 to encourage eco-friendly products."
"sustainability.html","從產品生命週期看環境","Life Cycle Assessment"
"sustainability.html","原料取得、生產、銷售、使用到廢棄，各階段的減量、回收、低污染與資源效率都是重要考量。","Considers environmental impact across raw materials, manufacturing, sales, usage, and disposal."
"sustainability.html","持續擴大的綠色選擇","Expanding Eco Options"
"sustainability.html","自民國82年公布首批標準以來，環保標章已涵蓋14大產品類別、超過百項產品項目。","Covering 14 major product categories and over 100 items since 1993."
"sustainability.html","我們的綠色標章產品","OUR GREEN LABEL PRODUCTS"
"sustainability.html","兩款取得環保標章的日常用品","Two Everyday Products Certified with Green Mark"
"sustainability.html","產品規格與標章資訊以環境部「淨零綠生活資訊平台」公開資料為準；點選卡片可查看各產品的完整資料。","Product specifications and certifications are based on official MoENV data. Click cards for full product details."
"sustainability.html","環保標章認證產品","ENVIRONMENTAL LABEL PRODUCT"
"sustainability.html","環保不打折，每一款都經過層層把關","Uncompromised Quality, Rigorously Audited"
"sustainability.html","台塑環保拉繩清潔袋與台塑環保清潔袋，皆通過環保標章審查並取得使用證書；從原料到製程，將環境考量落實於日常使用。","Formosa Eco Drawtape and Can Liner bags are fully Green Mark certified from raw materials to manufacturing."
"sustainability.html","通過環境審查","Passed Environmental Audits"
"sustainability.html","符合環保標章規格標準，取得產品標示資格。","Meets official Green Mark specifications."
"sustainability.html","50% 再生塑膠","50% Recycled Plastic"
"sustainability.html","減少對原生塑膠資源的依賴，延續材料價值。","Reduces reliance on virgin plastics."
"sustainability.html","避用重金屬","Zero Heavy Metals"
"sustainability.html","不使用鉛、鎘、汞及六價鉻等重金屬。","Free of lead, cadmium, mercury, and hexavalent chromium."
"sustainability.html","製程審慎管理","Strict Process Control"
"sustainability.html","避用列管毒性化學物質及相關管制物。","Free of regulated toxic chemical substances."
"sustainability.html","環保標章認證產品","ENVIRONMENTAL LABEL PRODUCT"
"sustainability.html","台塑環保拉繩清潔袋","Formosa Eco Drawtape Can Liner"
"sustainability.html","兼顧日常收納與清潔需求的環保標章產品。","Certified eco drawtape bags balancing daily storage and waste disposal."
"sustainability.html","查看環保標章產品資料","View Certification Details"
"sustainability.html","環保標章認證產品","ENVIRONMENTAL LABEL PRODUCT"
"sustainability.html","台塑環保清潔袋","Formosa Eco Trash Bag"
"sustainability.html","為居家與日常清潔情境提供的環保標章產品選擇。","Certified eco-friendly trash bags for household and commercial cleaning."
"sustainability.html","查看環保標章產品資料","View Certification Details"
"sustainability.html","我們的作法","OUR APPROACH"
"sustainability.html","以務實行動，讓綠色成為日常。","Pragmatic Action Making Green Living Everyday Practice."
"sustainability.html","珍惜每一份資源","Cherishing Every Resource"
"sustainability.html","我們持續將資源循環的思維帶進產品與製造流程，讓材料的價值被更充分運用。","We continuously integrate circular economy thinking into product design and manufacturing to maximize material value."
"sustainability.html","從容易辨識的選擇開始","Starting with Recognizable Choices"
"sustainability.html","以取得環保標章的產品，讓企業與消費者在採購與生活中，多一個清楚可靠的選擇。","With certified Green Mark products, we offer businesses and consumers clear, reliable options for daily purchasing."
"sustainability.html","想了解環保標章產品的採購資訊？","Interested in Purchasing Green Mark Certified Products?"
"sustainability.html","歡迎聯繫臺灣營德團隊，我們將協助您找到合適的產品選擇。","Contact the INTEPLAST TAIWAN team to find your ideal product solutions."
"sustainability.html","聯繫我們","Contact Us"
"products/index.html","產品中心 | 臺灣營德股份有限公司 Inteplast Taiwan","Products | Inteplast Taiwan Corporation"
"products/index.html","產品中心","Product Center"
"products/index.html","顯示全部 All","All Categories"
"products/index.html","' + esc(s) + '","' + esc(e) + '"
"products/index.html","' + esc(tw.main) + '","' + esc(en.main) + '"
"products/index.html","又稱 ' + esc(tw.alias) + '","Also known as ' + esc(en.alias || tw.alias) + '"
"products/index.html","' + esc(cat.highlight) + '","' + esc(cat.highlight_en || cat.highlight) + '"
"products/index.html","' + esc(cat.desc) + '","' + esc(cat.desc_en || cat.desc) + '"
"products/index.html","留下資料專人對接","Contact Sales"
"products/index.html","' + esc(noStr + ' ' + nameTw) + '","' + esc(noStr + ' ' + nameEn) + '"
"products/index.html","抽取式設計，取得美國專利","A pop-up design, patented in the United States"
"products/index.html","Scale Sheet 的單張抽取結構已取得美國專利。取用一張就是一張，不必翻找、不會沾黏，讓秤重與分裝的每一次動作都省下時間。","The single-sheet pop-up structure behind Scale Sheet is protected by a United States patent. One pull, one sheet — no fumbling, no sticking, and time saved on every weigh and repack."
